id,team,league,G,AB,H
503,TOR,AL,40,0,0
503,TOR,AL,44,0,0
503,TOR,AL,50,0,0
503,TOR,AL,6,0,0
503,TEX,AL,15,0,0
504,PIT,NL,12,0,0
504,PIT,NL,63,7,1
504,PIT,NL,34,63,5
504,PIT,NL,28,65,9
504,PIT,NL,26,49,6
504,PIT,NL,33,70,7
504,MIN,AL,34,0,0
504,CIN,NL,18,32,8
505,NY1,NL,32,86,21
505,SFN,NL,22,63,13
505,SFN,NL,71,228,57
505,SFN,NL,81,217,53
505,CHN,NL,73,214,57
505,CHN,NL,138,461,128
505,CHN,NL,150,516,118
505,CHN,NL,129,448,107
506,NYA,AL,128,447,123
506,NYA,AL,153,522,150
506,NYA,AL,121,362,90
506,NYA,AL,11,42,17
506,NYA,AL,8,10,2
506,NYA,AL,107,300,65
506,NYA,AL,43,96,22
506,NYA,AL,80,183,47
507,KC1,AL,13,17,2
507,KC1,AL,8,2,0
507,KC1,AL,10,7,0
507,KC1,AL,40,52,8
507,KC1,AL,49,41,6
507,OAK,AL,36,56,9
507,OAK,AL,43,48,8
507,ML4,AL,38,65,9
508,SLN,NL,1,1,0
508,SLN,NL,16,4,1
508,SLN,NL,34,82,14
508,SLN,NL,33,71,17
508,SLN,NL,32,74,17
508,BOS,AL,41,0,0
508,BOS,AL,31,0,0
508,BOS,AL,41,0,0
509,CIN,NL,3,8,3
509,CIN,NL,44,88,25
509,CIN,NL,34,44,14
509,SLN,NL,2,1,0
509,CIN,NL,28,44,9
509,CIN,NL,38,42,11
509,CIN,NL,41,82,14
509,CIN,NL,38,32,11
510,OAK,AL,12,0,0
510,OAK,AL,8,0,0
510,OAK,AL,7,0,0
510,KCA,AL,32,5,0
510,KCA,AL,22,4,0
510,SDN,NL,11,22,3
510,SDN,NL,31,1,0
510,NYA,AL,32,0,0
511,WS1,AL,33,59,17
511,WS1,AL,24,33,5
511,WS1,AL,5,6,3
511,SLA,AL,67,225,64
511,SLA,AL,92,235,66
511,DET,AL,121,320,88
511,DET,AL,76,185,61
511,DET,AL,55,137,39
512,BRO,NL,5,2,0
512,BRO,NL,42,68,14
512,BRO,NL,42,91,20
512,BRO,NL,26,32,4
512,BRO,NL,37,34,9
512,PIT,NL,22,22,6
512,PIT,NL,8,5,0
512,PIT,NL,5,1,0
513,ML4,AL,17,0,0
513,ML4,AL,23,4,0
513,MIL,NL,1,0,0
513,MIL,NL,23,44,4
513,MIL,NL,10,15,1
513,NYN,NL,29,37,4
513,PIT,NL,29,48,6
513,CLE,AL,7,0,0
514,PIT,NL,91,163,36
514,PIT,NL,56,50,9
514,PIT,NL,50,92,17
514,PIT,NL,70,81,16
514,PIT,NL,57,55,12
514,SEA,AL,148,373,74
514,SEA,AL,114,277,68
514,TEX,AL,88,229,53
515,CHA,AL,9,35,9
515,CHA,AL,132,451,111
515,CHA,AL,150,553,151
515,CHA,AL,105,357,107
515,CHA,AL,148,556,177
515,CHA,AL,147,514,150
515,CHA,AL,94,328,99
515,DET,AL,125,436,116
516,DET,AL,13,34,13
516,DET,AL,17,30,8
516,DET,AL,2,2,0
516,DET,AL,40,89,28
516,DET,AL,56,106,32
516,DET,AL,76,112,23
516,DET,AL,38,73,18
516,DET,AL,44,95,31
517,SLN,NL,92,332,99
517,SLN,NL,90,223,58
517,SLN,NL,114,417,116
517,SLN,NL,120,425,114
517,SLN,NL,112,369,88
517,PIT,NL,88,233,71
517,PIT,NL,42,120,27
517,CHN,NL,64,118,26
518,DET,AL,12,0,0
518,DET,AL,4,0,0
518,DET,AL,11,0,0
518,DET,AL,23,0,0
518,COL,NL,15,20,0
518,COL,NL,31,48,9
518,COL,NL,35,65,15
518,COL,NL,18,35,2
519,TBA,AL,31,0,0
519,TBA,AL,29,0,0
519,TBA,AL,43,0,0
519,ATL,NL,45,31,3
519,ATL,NL,27,20,3
519,SLN,NL,19,4,0
519,NYN,NL,42,25,5
519,NYN,NL,20,1,0
520,CHN,NL,34,111,25
520,CHN,NL,145,557,153
520,CHN,NL,116,379,88
520,CHN,NL,139,498,142
520,CHN,NL,126,484,132
520,CHN,NL,138,499,132
520,BRO,NL,101,307,84
520,BRO,NL,48,131,26
521,CAL,AL,4,0,0
521,CAL,AL,32,0,0
521,CAL,AL,4,0,0
521,CLE,AL,33,0,0
521,CLE,AL,48,0,0
521,CLE,AL,76,0,0
521,CLE,AL,67,0,0
521,CLE,AL,31,0,0
522,CIN,NL,41,112,26
522,CIN,NL,128,422,115
522,CIN,NL,150,531,124
522,CIN,NL,157,597,163
522,CIN,NL,157,619,158
522,CHA,AL,158,590,133
522,CHA,AL,81,280,58
522,NYA,AL,66,194,43
523,SLN,NL,14,35,11
523,SLN,NL,32,55,12
523,CHA,AL,13,43,12
523,CHA,AL,76,226,61
523,CHA,AL,117,392,105
523,SEA,AL,151,556,144
523,SEA,AL,114,403,105
523,SEA,AL,88,250,62
524,CHA,AL,2,0,0
524,CHA,AL,9,0,0
524,CHA,AL,26,0,0
524,CHA,AL,30,0,0
524,CHA,AL,36,0,0
524,CHA,AL,20,0,0
524,CHN,NL,25,15,0
524,CHN,NL,13,3,0
525,ATL,NL,67,188,48
525,ATL,NL,54,174,42
525,ATL,NL,113,321,93
525,ATL,NL,92,289,70
525,ATL,NL,28,38,12
525,ATL,NL,70,83,22
525,ATL,NL,57,122,22
525,ATL,NL,56,120,33
526,SLN,NL,7,14,1
526,SFN,NL,31,27,3
526,SFN,NL,37,43,7
526,SFN,NL,97,161,37
526,SFN,NL,28,23,6
526,ML4,AL,78,222,55
526,SLN,NL,65,71,21
526,BOS,AL,45,73,12
527,BRO,NL,85,259,78
527,BRO,NL,78,235,67
527,BRO,NL,77,218,53
527,BRO,NL,67,193,50
527,BRO,NL,48,115,33
527,BRO,NL,68,201,47
527,BRO,NL,82,258,65
527,BRO,NL,68,210,55
528,CHA,AL,149,544,159
528,CHA,AL,147,528,134
528,CHA,AL,152,509,142
528,CHA,AL,143,480,141
528,CHA,AL,148,540,146
528,CHA,AL,155,552,170
528,CHA,AL,147,523,140
528,CHA,AL,112,331,89
529,DET,AL,29,42,7
529,DET,AL,32,63,11
529,DET,AL,31,53,10
529,DET,AL,24,33,5
529,DET,AL,28,47,7
529,DET,AL,37,14,1
529,DET,AL,14,3,1
529,SLA,AL,31,48,8
530,DET,AL,112,428,143
530,DET,AL,128,507,197
530,DET,AL,137,526,211
530,DET,AL,145,556,189
530,DET,AL,155,625,211
530,DET,AL,121,415,157
530,DET,AL,79,233,79
530,PHA,AL,134,490,175
531,PHI,NL,1,5,1
531,PHI,NL,6,6,0
531,PHI,NL,49,101,24
531,PHI,NL,55,140,30
531,PHI,NL,141,456,119
531,PHI,NL,131,426,105
531,ATL,NL,114,359,80
531,ATL,NL,123,429,106
532,CIN,NL,4,4,1
532,CIN,NL,49,144,39
532,CIN,NL,43,93,13
532,ARI,NL,14,25,4
532,ARI,NL,2,3,1
532,SEA,AL,18,29,6
532,SEA,AL,10,23,5
532,LAN,NL,30,54,14
533,LAN,NL,5,8,4
533,LAN,NL,2,1,0
533,PHI,NL,9,22,3
533,PHI,NL,46,136,31
533,MON,NL,83,222,54
533,MON,NL,133,396,101
533,MON,NL,94,285,74
533,MON,NL,110,350,100
534,CHN,NL,88,293,59
534,CHN,NL,115,396,100
534,CHN,NL,143,487,131
534,CHN,NL,100,358,88
534,CHN,NL,146,519,125
534,CHN,NL,118,429,120
534,CHN,NL,129,450,134
534,CHN,NL,137,465,114
535,BOS,AL,18,57,15
535,BOS,AL,119,282,63
535,BOS,AL,133,463,130
535,BOS,AL,128,412,113
535,BOS,AL,146,501,121
535,BOS,AL,73,230,66
535,BOS,AL,147,497,123
535,BOS,AL,152,489,134
536,CHN,NL,6,6,1
536,CHN,NL,36,22,4
536,CHN,NL,6,0,0
536,CHN,NL,29,6,0
536,LAN,NL,34,22,6
536,LAN,NL,20,10,0
536,LAN,NL,13,0,0
536,LAN,NL,30,22,1
537,SFN,NL,7,14,4
537,SFN,NL,35,80,7
537,SFN,NL,38,78,8
537,SFN,NL,26,49,6
537,SFN,NL,37,70,4
537,SFN,NL,24,42,7
537,SFN,NL,22,30,1
537,ATL,NL,26,15,1
538,MON,NL,8,7,0
538,MON,NL,43,93,15
538,MON,NL,36,77,14
538,MON,NL,35,52,7
538,ATL,NL,40,94,17
538,ATL,NL,38,89,10
538,ATL,NL,39,94,15
538,ATL,NL,27,45,8
539,CLE,AL,31,14,3
539,CLE,AL,80,201,60
539,CLE,AL,141,542,165
539,CLE,AL,150,597,179
539,CLE,AL,141,559,160
539,CLE,AL,143,555,189
539,CLE,AL,141,537,146
539,CLE,AL,138,513,115
540,CIN,NL,97,201,51
540,CIN,NL,120,279,71
540,CIN,NL,120,347,92
540,CIN,NL,87,224,53
540,CIN,NL,119,275,61
540,LAN,NL,33,55,10
540,WAS,NL,83,139,30
540,WAS,NL,38,74,12
541,DET,AL,60,190,50
541,DET,AL,151,509,140
541,DET,AL,71,239,58
541,DET,AL,140,398,92
541,DET,AL,138,332,71
541,DET,AL,113,224,55
541,DET,AL,156,485,115
541,DET,AL,98,281,76
542,LAN,NL,29,33,4
542,LAN,NL,11,30,5
542,LAN,NL,109,353,84
542,LAN,NL,134,405,88
542,LAN,NL,115,258,75
542,LAN,NL,148,477,119
542,LAN,NL,138,405,107
542,CLE,AL,49,146,30
543,ATL,NL,142,520,144
543,ATL,NL,128,396,90
543,ATL,NL,158,587,158
543,ATL,NL,104,382,97
543,ATL,NL,149,573,155
543,SLN,NL,154,547,160
543,CHN,NL,142,530,122
543,CHN,NL,126,432,112
544,TOR,AL,15,0,0
544,TOR,AL,2,0,0
544,FLO,NL,14,10,1
544,FLO,NL,26,44,3
544,FLO,NL,28,26,4
544,FLO,NL,32,19,3
544,NYA,AL,11,0,0
544,NYA,AL,10,0,0
545,SFN,NL,16,25,6
545,SFN,NL,24,53,6
545,SFN,NL,32,53,9
545,SFN,NL,37,85,15
545,SFN,NL,29,66,9
545,SFN,NL,33,34,7
545,SFN,NL,11,6,1
545,CAL,AL,10,0,0
546,BOS,AL,2,1,0
546,BOS,AL,33,6,0
546,BOS,AL,38,10,2
546,BOS,AL,53,18,5
546,BOS,AL,25,9,1
546,BOS,AL,57,6,0
546,CHN,NL,13,1,0
546,HOU,NL,2,0,0
547,KCA,AL,41,52,3
547,KCA,AL,35,76,4
547,KCA,AL,35,77,10
547,KCA,AL,35,68,4
547,KCA,AL,38,0,0
547,BOS,AL,33,0,0
547,BOS,AL,40,0,0
547,CAL,AL,43,0,0
548,CAL,AL,29,79,15
548,ANA,AL,34,124,36
548,ANA,AL,29,71,18
548,ANA,AL,97,321,78
548,TOR,AL,34,85,20
548,NYA,AL,35,96,20
548,TEX,AL,42,112,30
548,TEX,AL,62,205,47
549,WS1,AL,18,63,18
549,WS1,AL,139,524,141
549,WS1,AL,101,347,101
549,WS1,AL,153,602,194
549,WS1,AL,63,263,76
549,WS1,AL,151,633,165
549,WS1,AL,149,588,189
549,WS1,AL,136,547,155
550,OAK,AL,16,38,6
550,OAK,AL,38,105,32
550,OAK,AL,65,179,49
550,OAK,AL,82,227,51
550,OAK,AL,160,510,132
550,OAK,AL,158,484,102
550,OAK,AL,158,498,127
550,OAK,AL,128,417,104
551,NYA,AL,11,37,9
551,NYA,AL,21,69,12
551,NYA,AL,152,564,146
551,NYA,AL,159,581,146
551,NYA,AL,146,529,175
551,NYA,AL,153,585,171
551,NYA,AL,160,616,187
551,NYA,AL,156,606,166
552,LAN,NL,4,1,0
552,LAN,NL,4,0,0
552,CHN,NL,6,0,0
552,SLN,NL,26,5,2
552,ATL,NL,18,31,4
552,ATL,NL,38,29,4
552,ATL,NL,32,64,13
552,PIT,NL,27,32,7
553,TEX,AL,6,0,0
553,TEX,AL,8,0,0
553,TEX,AL,6,0,0
553,CIN,NL,33,61,6
553,CIN,NL,9,16,1
553,CIN,NL,12,17,2
553,CIN,NL,21,26,3
553,SDN,NL,32,56,4
554,OAK,AL,19,0,0
554,OAK,AL,36,0,0
554,OAK,AL,49,0,0
554,SDN,NL,10,3,0
554,CHN,NL,23,13,0
554,KCA,AL,11,0,0
554,ATL,NL,10,0,0
554,PIT,NL,4,3,0
555,BSN,NL,9,38,8
555,BSN,NL,22,75,14
555,BOS,AL,52,195,50
555,BOS,AL,23,88,19
555,PHI,NL,83,300,78
555,PHI,NL,49,96,24
555,PHI,NL,64,121,29
555,PHI,NL,56,137,38
556,SLN,NL,91,313,104
556,SLN,NL,116,411,135
556,SLN,NL,143,510,158
556,SLN,NL,124,407,126
556,SLN,NL,124,459,130
556,SLN,NL,80,243,61
556,SLN,NL,1,1,0
556,BSN,NL,96,322,100
557,ML4,AL,107,344,86
557,ML4,AL,147,558,149
557,ML4,AL,161,638,161
557,ML4,AL,154,605,174
557,ML4,AL,127,502,147
557,ML4,AL,149,577,154
557,ML4,AL,143,611,179
557,ML4,AL,96,377,103
558,CIN,NL,3,3,0
558,CIN,NL,1,1,0
558,CIN,NL,19,24,3
558,CIN,NL,36,72,6
558,CIN,NL,22,15,2
558,NYN,NL,41,69,14
558,NYN,NL,41,38,9
558,NYN,NL,3,3,0
559,CIN,NL,18,50,9
559,CIN,NL,54,165,35
559,CIN,NL,103,323,77
559,CIN,NL,114,384,105
559,CIN,NL,23,45,8
559,CIN,NL,16,50,7
559,CIN,NL,56,141,30
559,CIN,NL,18,41,9
560,NYA,AL,12,23,2
560,NYA,AL,40,15,2
560,NYA,AL,23,4,0
560,KC1,AL,57,24,2
560,KC1,AL,52,39,2
560,KC1,AL,38,33,4
560,KC1,AL,50,17,2
560,KC1,AL,17,0,0
561,BSN,NL,88,257,62
561,BSN,NL,152,555,155
561,BSN,NL,143,515,140
561,BSN,NL,111,380,103
561,PHI,NL,145,530,144
561,BRO,NL,66,216,59
561,CIN,NL,57,197,55
561,CIN,NL,115,409,112
562,PHI,NL,1,2,1
562,NYN,NL,59,169,32
562,NYN,NL,32,103,27
562,NYN,NL,139,431,108
562,NYN,NL,143,477,126
562,NYN,NL,155,538,131
562,NYN,NL,91,319,91
562,NYN,NL,80,273,74
563,OAK,AL,1,0,0
563,OAK,AL,2,0,0
563,SEA,AL,7,0,0
563,CHN,NL,11,4,0
563,CHN,NL,31,19,1
563,NYA,AL,51,0,0
563,BAL,AL,52,0,0
563,NYA,AL,16,0,0
564,DET,AL,7,22,8
564,DET,AL,15,41,9
564,DET,AL,66,163,41
564,DET,AL,124,401,109
564,DET,AL,148,556,150
564,ATL,NL,126,409,110
564,TBA,AL,76,214,43
564,SDN,NL,13,12,2
565,NYN,NL,2,2,1
565,NYN,NL,2,0,0
565,NYN,NL,12,9,0
565,NYN,NL,32,62,8
565,NYN,NL,32,67,14
565,PHI,NL,36,72,14
565,PHI,NL,13,26,3
565,PHI,NL,14,20,4
566,NYN,NL,5,2,0
566,SFN,NL,52,7,0
566,SFN,NL,67,1,0
566,SFN,NL,6,0,0
566,TBA,AL,20,0,0
566,SFN,NL,15,0,0
566,SFN,NL,65,0,0
566,PHI,NL,32,0,0
567,CHA,AL,4,7,2
567,CHA,AL,53,126,37
567,CLE,AL,108,316,86
567,CLE,AL,142,509,152
567,CLE,AL,135,459,120
567,CLE,AL,89,255,55
567,CLE,AL,106,352,85
567,CHA,AL,122,356,86
568,DET,AL,2,0,0
568,DET,AL,31,3,0
568,DET,AL,33,4,0
568,DET,AL,32,1,0
568,DET,AL,29,4,0
568,DET,AL,1,0,0
568,DET,AL,3,0,0
568,CIN,NL,10,14,0
569,HOU,NL,11,15,3
569,HOU,NL,11,34,5
569,HOU,NL,64,190,39
569,HOU,NL,79,257,61
569,HOU,NL,119,409,108
569,HOU,NL,90,226,54
569,HOU,NL,45,74,19
569,HOU,NL,67,107,26
570,CHN,NL,23,51,9
570,CLE,AL,66,244,67
570,CLE,AL,143,489,128
570,CLE,AL,162,663,200
570,CLE,AL,149,588,155
570,CLE,AL,157,621,168
570,CLE,AL,162,651,158
570,SDN,NL,162,634,147
571,ML1,NL,2,0,0
571,ML1,NL,29,40,7
571,ML1,NL,38,81,15
571,ATL,NL,18,23,5
571,ATL,NL,10,7,1
571,HOU,NL,16,22,4
571,HOU,NL,22,5,0
571,HOU,NL,27,12,0
572,SLN,NL,83,235,61
572,SLN,NL,46,74,15
572,PHI,NL,121,446,122
572,PHI,NL,121,412,119
572,PHI,NL,141,523,155
572,PHI,NL,125,428,123
572,CIN,NL,11,27,5
572,SLN,NL,119,418,109
573,DET,AL,2,0,0
573,CLE,AL,14,24,4
573,WS1,AL,32,8,0
573,WS1,AL,41,29,2
573,WS2,AL,7,16,2
573,DET,AL,12,4,0
573,HOU,NL,31,37,3
573,HOU,NL,55,23,3
574,SDN,NL,7,21,7
574,SDN,NL,113,389,121
574,SDN,NL,140,444,127
574,SDN,NL,144,553,149
574,SDN,NL,109,384,109
574,CLE,AL,34,93,28
574,CLE,AL,113,378,100
574,TEX,AL,21,33,13
575,SLN,NL,93,185,39
575,SLN,NL,28,88,25
575,SLN,NL,43,60,13
575,PHI,NL,98,217,62
575,PHI,NL,79,174,44
575,NYN,NL,8,22,3
575,CHN,NL,13,29,5
575,SLN,NL,91,130,30
576,CHA,AL,25,3,0
576,CHA,AL,33,2,0
576,CHA,AL,32,9,0
576,CHA,AL,32,8,0
576,CHA,AL,32,2,0
576,CHA,AL,18,3,0
576,CHN,NL,14,22,2
576,CHN,NL,32,52,4
577,CHN,NL,53,2,0
577,CHN,NL,7,1,0
577,SDN,NL,33,7,1
577,SDN,NL,34,53,13
577,SDN,NL,23,35,6
577,SDN,NL,38,60,5
577,SDN,NL,16,18,3
577,MIA,NL,12,16,3
578,PIT,NL,10,26,7
578,PIT,NL,6,4,1
578,MIN,AL,6,13,5
578,MIN,AL,28,75,16
578,MIN,AL,15,22,5
578,SLN,NL,24,38,14
578,PIT,NL,36,78,17
578,SLN,NL,34,71,11
579,HOU,NL,21,60,18
579,HOU,NL,8,13,3
579,HOU,NL,83,156,44
579,HOU,NL,26,45,8
579,TBA,AL,74,185,47
579,TBA,AL,85,248,73
579,TBA,AL,45,111,24
579,NYA,AL,22,18,4
580,SDN,NL,22,65,10
580,SDN,NL,95,292,70
580,SDN,NL,37,67,17
580,SDN,NL,122,379,100
580,SDN,NL,92,214,50
580,SDN,NL,86,128,35
580,SDN,NL,126,384,108
580,SDN,NL,134,368,103
581,DET,AL,23,47,15
581,DET,AL,30,83,20
581,CHA,AL,42,161,49
581,CHA,AL,46,172,42
581,CHA,AL,148,553,142
581,CHA,AL,120,413,101
581,CHA,AL,136,518,171
581,CHA,AL,93,356,84
582,SLN,NL,1,1,0
582,PIT,NL,39,53,7
582,PIT,NL,33,75,8
582,PIT,NL,21,15,1
582,PIT,NL,38,40,5
582,BRO,NL,34,51,5
582,BRO,NL,30,70,8
582,BRO,NL,36,91,14
583,SFN,NL,66,196,40
583,SFN,NL,143,435,108
583,SFN,NL,149,499,124
583,SFN,NL,153,491,121
583,SFN,NL,143,507,130
583,SFN,NL,155,553,152
583,SFN,NL,144,518,131
583,SFN,NL,151,531,135
584,CLE,AL,5,11,3
584,CAL,AL,7,11,1
584,NYA,AL,8,22,8
584,NYA,AL,14,35,5
584,SDN,NL,11,12,1
584,CIN,NL,25,63,16
584,CIN,NL,76,216,53
584,CHN,NL,17,41,5
585,COL,NL,3,1,0
585,COL,NL,1,0,0
585,FLO,NL,51,164,49
585,FLO,NL,107,335,84
585,FLO,NL,37,66,10
585,LAN,NL,50,108,28
585,ARI,NL,67,152,48
585,ARI,NL,141,458,126
586,COL,NL,1,1,0
586,COL,NL,33,18,3
586,COL,NL,22,27,7
586,COL,NL,23,2,0
586,CLE,AL,44,1,1
586,TOR,AL,46,3,0
586,TOR,AL,16,1,0
586,NYA,AL,18,0,0
587,PHI,NL,37,130,33
587,PHI,NL,156,561,159
587,PHI,NL,160,601,174
587,PHI,NL,112,421,113
587,PHI,NL,128,483,144
587,PHI,NL,151,554,160
587,PHI,NL,100,375,97
587,SLN,NL,55,205,57
588,LAN,NL,13,20,4
588,LAN,NL,1,1,0
588,LAN,NL,15,39,5
588,ARI,NL,113,333,74
588,DET,AL,96,288,69
588,DET,AL,8,17,3
588,BAL,AL,8,16,0
588,CLE,AL,20,45,14
589,CIN,NL,74,181,58
589,CIN,NL,108,368,123
589,CIN,NL,140,495,144
589,CIN,NL,44,133,29
589,LAN,NL,11,38,13
589,LAN,NL,130,450,133
589,LAN,NL,137,461,115
589,LAN,NL,35,104,24
590,MIL,NL,10,15,1
590,MIL,NL,59,13,1
590,MIL,NL,47,17,2
590,MIL,NL,64,11,1
590,MIL,NL,50,4,0
590,TOR,AL,33,4,0
590,TOR,AL,38,2,1
590,CHN,NL,47,32,5
591,CHN,NL,42,95,18
591,CHN,NL,40,105,22
591,CHN,NL,45,105,26
591,CHN,NL,36,79,17
591,CHN,NL,37,78,14
591,CHN,NL,31,63,10
591,CHN,NL,34,64,11
591,NYA,AL,29,15,0
592,DET,AL,2,2,0
592,KCA,AL,34,57,16
592,KCA,AL,41,70,14
592,KCA,AL,21,10,0
592,KCA,AL,18,20,2
592,PIT,NL,42,49,12
592,PIT,NL,33,95,29
592,PIT,NL,28,63,6
593,CHN,NL,1,0,0
593,CHN,NL,5,0,0
593,CHN,NL,45,16,1
593,CHN,NL,28,2,0
593,PIT,NL,56,14,1
593,PIT,NL,17,1,0
593,SLN,NL,6,2,0
593,BOS,AL,17,2,0
594,ATL,NL,13,14,0
594,ATL,NL,22,17,6
594,ATL,NL,92,245,68
594,ATL,NL,107,329,102
594,ATL,NL,153,528,149
594,ATL,NL,143,467,122
594,ATL,NL,129,427,117
594,ATL,NL,133,404,120
595,CHN,NL,7,12,2
595,CHN,NL,13,19,2
595,CHN,NL,4,3,0
595,COL,NL,27,46,10
595,COL,NL,29,29,5
595,COL,NL,60,9,3
595,COL,NL,49,4,2
595,COL,NL,2,0,0
596,COL,NL,75,5,1
596,COL,NL,64,2,0
596,COL,NL,3,0,0
596,ARI,NL,29,0,0
596,BOS,AL,27,0,0
596,BOS,AL,61,0,0
596,BOS,AL,70,1,0
596,BOS,AL,14,0,0
597,NYN,NL,140,392,96
597,NYN,NL,146,494,113
597,NYN,NL,139,409,105
597,NYN,NL,141,369,87
597,NYN,NL,58,160,38
597,LAN,NL,65,98,16
597,CHN,NL,75,188,42
597,CHN,NL,134,338,80
598,MON,NL,12,33,12
598,MON,NL,94,305,85
598,MON,NL,127,508,149
598,MON,NL,151,570,165
598,MON,NL,146,548,151
598,MON,NL,86,311,98
598,MON,NL,22,76,16
598,NYN,NL,48,169,35
599,KC1,AL,4,0,0
599,LAA,AL,33,11,0
599,LAA,AL,47,45,5
599,LAA,AL,47,18,1
599,ML1,NL,61,6,1
599,BOS,AL,44,6,2
599,BOS,AL,34,9,3
599,CHA,AL,51,3,0
600,BSN,NL,40,27,2
600,BSN,NL,40,94,28
600,BSN,NL,40,107,37
600,BSN,NL,43,115,25
600,BSN,NL,39,97,20
600,BSN,NL,37,102,21
600,BSN,NL,26,52,11
600,NYA,AL,7,14,4
601,CHN,NL,6,7,4
601,CHN,NL,23,26,4
601,CHN,NL,42,70,9
601,CHN,NL,38,68,9
601,CHN,NL,34,84,11
601,CHN,NL,36,70,10
601,CHN,NL,39,67,8
601,CHN,NL,8,6,1
602,BOS,AL,39,22,1
602,BOS,AL,23,10,1
602,BOS,AL,29,49,7
602,BOS,AL,48,29,3
602,BOS,AL,49,21,1
602,BOS,AL,31,48,3
602,BOS,AL,28,47,3
602,BOS,AL,24,43,5
603,BAL,AL,20,56,9
603,BAL,AL,58,164,44
603,BAL,AL,38,89,21
603,SE1,AL,22,59,15
603,OAK,AL,53,86,13
603,OAK,AL,2,2,0
603,OAK,AL,5,4,0
603,OAK,AL,2,2,1
604,BRO,NL,7,3,0
604,BRO,NL,20,28,3
604,BRO,NL,27,23,7
604,BRO,NL,4,0,0
604,CIN,NL,24,25,4
604,CIN,NL,36,56,7
604,CIN,NL,27,42,6
604,CIN,NL,17,5,2
605,CLE,AL,111,415,114
605,CLE,AL,121,466,136
605,CLE,AL,155,572,156
605,CLE,AL,17,67,22
605,NYA,AL,110,400,97
605,NYA,AL,150,562,171
605,NYA,AL,156,641,188
605,NYA,AL,157,600,172
606,OAK,AL,8,0,0
606,OAK,AL,33,0,0
606,OAK,AL,45,0,0
606,SDN,NL,12,0,0
606,SDN,NL,35,2,1
606,SDN,NL,22,1,0
606,OAK,AL,26,0,0
606,OAK,AL,24,0,0
607,SEA,AL,12,2,0
607,BOS,AL,8,1,0
607,BOS,AL,63,4,0
607,BOS,AL,74,0,0
607,BOS,AL,74,1,0
607,BOS,AL,67,1,0
607,BOS,AL,32,3,1
607,BOS,AL,33,4,0
608,CHA,AL,127,492,144
608,CHA,AL,152,572,172
608,CHA,AL,150,558,150
608,CHA,AL,140,492,130
608,CHA,AL,158,623,181
608,CHA,AL,153,591,180
608,MIL,NL,162,618,164
608,MIL,NL,102,388,111
609,SFN,NL,17,4,0
609,SFN,NL,44,49,9
609,SFN,NL,41,66,10
609,SFN,NL,56,71,18
609,SFN,NL,38,76,9
609,SFN,NL,41,74,12
609,SFN,NL,44,76,10
609,SFN,NL,34,50,5
610,NYA,AL,16,36,10
610,NYA,AL,1,2,0
610,NYA,AL,45,91,28
610,PIT,NL,18,56,13
610,PIT,NL,69,208,61
610,PIT,NL,70,156,37
610,PIT,NL,1,1,0
610,DET,AL,55,117,37
611,TOR,AL,2,1,0
611,TOR,AL,43,130,28
611,TOR,AL,37,91,15
611,TOR,AL,138,488,132
611,TOR,AL,153,519,136
611,TOR,AL,142,530,155
611,TOR,AL,152,573,156
611,TOR,AL,162,569,196
612,CLE,AL,5,14,5
612,CLE,AL,38,125,27
612,CLE,AL,73,211,46
612,PIT,NL,78,271,70
612,PIT,NL,159,583,148
612,PIT,NL,157,608,164
612,PIT,NL,159,632,167
612,PIT,NL,154,604,187
613,BOS,AL,24,87,21
613,BOS,AL,153,684,209
613,BOS,AL,143,604,195
613,BOS,AL,135,532,190
613,BOS,AL,140,529,197
613,BOS,AL,21,83,24
613,BOS,AL,156,635,197
613,BOS,AL,156,658,198
614,WS1,AL,38,93,22
614,WS1,AL,33,86,16
614,WS1,AL,36,89,19
614,WS1,AL,31,43,12
614,WS1,AL,20,39,12
614,WS1,AL,39,59,14
614,WS1,AL,40,67,16
614,WS1,AL,31,93,20
615,ATL,NL,16,17,1
615,PIT,NL,18,31,4
615,PIT,NL,17,26,1
615,PIT,NL,29,50,4
615,PIT,NL,9,13,0
615,PIT,NL,20,36,5
615,PIT,NL,26,40,2
615,PIT,NL,23,36,1
616,ML4,AL,23,58,14
616,ML4,AL,84,259,67
616,ML4,AL,117,267,67
616,ML4,AL,127,374,104
616,ML4,AL,84,253,63
616,CHN,NL,77,97,29
616,SEA,AL,24,41,15
616,HOU,NL,54,109,31
617,BRO,NL,92,292,78
617,BRO,NL,130,471,139
617,BRO,NL,96,286,79
617,BRO,NL,64,148,31
617,BRO,NL,50,142,26
617,BRO,NL,17,36,9
617,CHN,NL,51,141,33
617,CHN,NL,50,94,23
618,PHI,NL,127,402,101
618,PHI,NL,147,586,163
618,PHI,NL,152,570,164
618,PHI,NL,128,438,109
618,PHI,NL,13,47,12
618,SLN,NL,110,311,91
618,SLN,NL,96,246,79
618,SLN,NL,90,265,69
619,SLN,NL,37,15,2
619,SLN,NL,49,38,3
619,SLN,NL,49,40,6
619,SLN,NL,33,80,11
619,SLN,NL,36,76,8
619,SLN,NL,30,39,7
619,PIT,NL,37,39,10
619,PIT,NL,28,70,11
620,NY1,NL,3,2,0
620,BSN,NL,33,33,11
620,BSN,NL,6,20,3
620,CIN,NL,66,76,23
620,CIN,NL,80,150,47
